location,average_votes,maximum_votes,minimum_votes
Koramangala 5th Block,1321.9143135345666,14726,0
Church Street,1092.4142259414225,4748,32
Sarjapur Road,1043.5330578512396,16832,0
MG Road,1015.5472972972973,4616,0
Old Airport Road,953.0693069306931,9300,26
Infantry Road,950.2666666666667,2051,89
Koramangala 3rd Block,935.7156862745098,2717,75
Lavelle Road,935.5355191256831,3730,53
Koramangala 4th Block,916.3963414634146,7871,0
Indiranagar,848.5818476499189,14956,0
Brigade Road,711.8695652173913,4448,0
Koramangala 6th Block,702.9035532994924,4660,33
Koramangala 7th Block,693.1459627329192,6385,36
Whitefield,660.2748691099476,7064,0
Marathahalli,653.3201219512196,12121,0
RT Nagar,632.6,2692,78
Sadashiv Nagar,592.0,592,592
Rajajinagar,552.2337662337662,2423,39
West Bangalore,536.0,537,535
North Bangalore,531.0,531,531
Cunningham Road,523.3866666666667,745,148
Kammanahalli,516.256,3248,0
St. Marks Road,514.3097345132743,3614,55
Malleshwaram,509.18518518518516,4781,30
Sahakara Nagar,493.0,3077,34
Jayanagar,488.7685009487666,5060,0
Koramangala 1st Block,488.26446280991735,3632,38
Bannerghatta Road,476.39442231075697,3178,37
New BEL Road,475.744966442953,2935,44
Shanti Nagar,473.7704918032787,2034,46
HSR,450.95063694267515,6745,0
JP Nagar,449.233409610984,3864,0
Residency Road,406.0438596491228,2213,30
Bellandur,389.14084507042253,2232,0
Central Bangalore,383.3333333333333,385,382
Thippasandra,376.6,563,32
Kalyan Nagar,369.2540322580645,2392,0
Banashankari,360.503355704698,2130,32
Vijay Nagar,358.125,1176,101
Basavanagudi,338.82208588957053,4460,35
Koramangala,327.88235294117646,587,98
Brookefield,323.96527777777777,1798,30
BTM,306.2268803945746,6490,0
Sankey Road,302.3,471,59
Electronic City,294.11538461538464,1369,0
Shivajinagar,289.5,399,108
East Bangalore,278.875,1093,120
Ejipura,273.6842105263158,529,34
Hennur,245.92857142857142,506,57
Richmond Road,245.0952380952381,695,47
Nagawara,243.02941176470588,755,42
Ulsoor,238.27488151658767,1852,32
Langford Town,234.3181818181818,235,234
Domlur,230.52173913043478,1135,41
Commercial Street,208.0677966101695,661,32
Race Course Road,203.0,516,42
Bommanahalli,200.66666666666666,240,122
Frazer Town,199.2945205479452,1876,38
HBR Layout,188.88888888888889,764,95
Jeevan Bhima Nagar,187.9873417721519,691,51
Koramangala 8th Block,187.83157894736843,463,0
Basaveshwara Nagar,187.44736842105263,397,31
Magadi Road,185.0,185,185
Rammurthy Nagar,171.5,227,116
Kanakapura Road,170.0,170,170
"ITPL Main Road, Whitefield",169.84,492,63
Kumaraswamy Layout,169.73529411764707,248,77
Kaggadasapura,162.72222222222223,391,60
Seshadripuram,157.6969696969697,344,62
Yeshwantpur,155.36363636363637,254,89
South Bangalore,152.57894736842104,630,30
Banaswadi,151.41176470588235,671,31
Majestic,150.83333333333334,302,56
"Varthur Main Road, Whitefield",148.63636363636363,296,55
Vasanth Nagar,146.44594594594594,751,31
CV Raman Nagar,136.3,234,83
Sanjay Nagar,135.5,250,30
Koramangala 2nd Block,132.3111111111111,226,0
City Market,122.0,176,68
Old Madras Road,109.0909090909091,222,66
Hosur Road,103.625,138,55
Uttarahalli,102.0,102,102
Jalahalli,81.0,95,74
Wilson Garden,70.89473684210526,75,50
Rajarajeshwari Nagar,53.0,53,53
